Timestamp,Hour,Date,Load_Demand_MW,Solar_GHI_Wm2,Solar_Power_MW,Wind_Speed_ms,Wind_Power_MW,Voltage_pu,Frequency_Hz,THD_percent,Power_Factor,Renewable_Penetration_%
2023-01-01 00:00:00,0,2023-01-01,5877.28,0,0.0,5.27,5.27,1.0334,60.105,3.02,0.95,0.09
2023-01-01 01:00:00,1,2023-01-01,5468.67,0,0.0,9.28,28.77,1.0437,59.924,3.67,0.95,0.53
2023-01-01 02:00:00,2,2023-01-01,5302.35,0,0.0,6.05,7.97,0.9975,60.002,3.01,0.95,0.15
2023-01-01 03:00:00,3,2023-01-01,4966.13,0,0.0,9.55,31.36,1.0092,59.95,3.96,0.95,0.63
2023-01-01 04:00:00,4,2023-01-01,5171.93,0,0.0,7.54,15.43,1.0386,60.145,3.45,0.95,0.3
2023-01-01 05:00:00,5,2023-01-01,5186.89,0,0.0,6.38,9.35,0.9879,60.093,3.08,0.95,0.18
2023-01-01 06:00:00,6,2023-01-01,4973.91,0,0.0,9.39,29.81,1.0254,59.999,3.32,0.95,0.6
2023-01-01 07:00:00,7,2023-01-01,4813.58,0,0.0,7.4,14.59,0.9992,60.021,3.12,0.95,0.3
2023-01-01 08:00:00,8,2023-01-01,4660.42,241,28.92,9.84,34.3,1.0153,59.963,3.13,0.95,1.36
2023-01-01 09:00:00,9,2023-01-01,4698.71,371,44.52,7.11,12.94,0.9777,59.984,3.43,0.95,1.22
2023-01-01 10:00:00,10,2023-01-01,4978.7,551,66.12,7.56,15.55,1.0146,59.852,3.5,0.95,1.64
2023-01-01 11:00:00,11,2023-01-01,5311.93,617,74.04,6.09,8.13,0.9705,60.019,3.29,0.95,1.55
2023-01-01 12:00:00,12,2023-01-01,5482.43,715,85.8,7.29,13.95,0.993,59.976,3.72,0.949,1.82
2023-01-01 13:00:00,13,2023-01-01,5052.88,909,109.08,9.11,27.22,0.9806,59.879,3.76,0.949,2.7
2023-01-01 14:00:00,14,2023-01-01,5687.63,664,79.68,9.8,33.88,0.9838,59.797,3.15,0.949,2.0
2023-01-01 15:00:00,15,2023-01-01,5941.89,501,60.12,5.65,6.49,0.9957,59.981,3.22,0.95,1.12
2023-01-01 16:00:00,16,2023-01-01,6050.77,308,36.96,7.77,16.89,1.0047,59.953,3.71,0.95,0.89
2023-01-01 17:00:00,17,2023-01-01,5863.52,0,0.0,8.76,24.2,1.0197,59.997,3.94,0.95,0.41
2023-01-01 18:00:00,18,2023-01-01,6590.4,0,0.0,5.26,5.24,1.0353,59.91,3.63,0.95,0.08
2023-01-01 19:00:00,19,2023-01-01,7124.64,0,0.0,5.9,7.39,0.9922,59.909,3.59,0.95,0.1
2023-01-01 20:00:00,20,2023-01-01,7077.98,0,0.0,6.77,11.17,1.0186,60.131,3.06,0.95,0.16
2023-01-01 21:00:00,21,2023-01-01,6534.16,0,0.0,8.22,19.99,1.0364,59.97,3.44,0.95,0.31
2023-01-01 22:00:00,22,2023-01-01,5989.15,0,0.0,5.59,6.29,0.9867,60.072,3.23,0.95,0.11
2023-01-01 23:00:00,23,2023-01-01,6234.44,0,0.0,6.7,10.83,0.9925,60.007,3.54,0.95,0.17
2023-01-02 00:00:00,0,2023-01-02,7328.05,0,0.0,5.98,7.7,0.9793,60.188,3.51,0.95,0.11
2023-01-02 01:00:00,1,2023-01-02,7180.28,0,0.0,9.47,30.57,1.0355,59.81,3.93,0.95,0.43
2023-01-02 02:00:00,2,2023-01-02,6326.57,0,0.0,9.63,32.15,0.9647,60.067,3.87,0.95,0.51
2023-01-02 03:00:00,3,2023-01-02,6292.47,0,0.0,8.9,25.38,1.0022,59.889,3.12,0.95,0.4
2023-01-02 04:00:00,4,2023-01-02,6606.55,0,0.0,9.12,27.31,0.9956,60.094,3.58,0.95,0.41
2023-01-02 05:00:00,5,2023-01-02,6093.85,0,0.0,9.02,26.42,1.0564,60.017,3.84,0.95,0.43
