Timestamp,Wind_Speed_ms,Wind_Power_MW,Solar_Power_MW,Total_Renewable_MW,Load_Demand_MW,Renewable_Penetration_pct,Voltage_pu,Frequency_Hz,Harmonics_THD_pct,Power_Factor
2023-01-01 00:00:00,11.16,50.0,9.56,59.56,469.15,12.69,0.9937,60.029,3.3,0.958
2023-01-01 01:00:00,11.09,49.16,9.56,58.72,429.62,13.67,0.9891,60.013,4.15,0.965
2023-01-01 02:00:00,6.67,10.69,9.56,20.25,431.22,4.7,1.0067,59.966,3.17,0.953
2023-01-01 03:00:00,8.16,19.55,9.56,29.11,435.51,6.68,1.0463,59.985,3.38,0.921
2023-01-01 04:00:00,11.89,60.59,9.56,70.15,362.31,19.36,0.9837,60.312,4.08,0.925
2023-01-01 05:00:00,10.4,40.54,9.56,50.1,344.73,14.53,0.9902,59.974,3.7,0.969
2023-01-01 06:00:00,5.19,5.03,9.56,14.59,385.64,3.78,0.9984,60.045,3.95,0.974
2023-01-01 07:00:00,5.46,5.85,34.99,40.84,352.8,11.58,1.0068,59.933,3.53,0.968
2023-01-01 08:00:00,8.25,20.2,52.32,72.51,312.8,23.18,1.003,60.034,3.48,0.95
2023-01-01 09:00:00,11.36,52.84,77.51,130.35,346.06,37.67,1.0219,59.988,4.05,0.961
2023-01-01 10:00:00,8.77,24.29,73.0,97.29,324.36,29.99,0.9485,59.966,4.18,0.94
2023-01-01 11:00:00,8.48,21.99,84.83,106.82,337.78,31.62,0.9491,60.19,4.01,0.953
2023-01-01 12:00:00,5.74,6.8,74.18,80.98,376.6,21.5,0.9879,60.121,3.96,0.939
2023-01-01 13:00:00,9.6,31.83,109.98,141.8,332.42,42.66,1.0177,60.028,4.73,0.92
2023-01-01 14:00:00,10.75,44.78,88.85,133.63,360.04,37.12,0.965,59.781,4.65,0.956
2023-01-01 15:00:00,7.66,16.2,82.22,98.42,416.9,23.61,0.9375,59.968,3.74,0.968
2023-01-01 16:00:00,10.43,40.84,46.84,87.68,423.86,20.69,1.0094,60.273,3.88,0.99
2023-01-01 17:00:00,11.75,58.42,32.64,91.06,481.26,18.92,1.003,59.979,3.93,0.95
2023-01-01 18:00:00,6.43,9.55,9.56,19.11,458.08,4.17,0.9778,60.105,4.03,0.928
2023-01-01 19:00:00,8.66,23.41,9.56,32.97,451.44,7.3,0.9796,60.14,4.14,0.941
2023-01-01 20:00:00,7.01,12.4,9.56,21.96,540.67,4.06,0.9802,60.016,3.32,0.946
2023-01-01 21:00:00,10.55,42.27,9.56,51.83,487.03,10.64,1.0011,59.914,3.94,0.95
2023-01-01 22:00:00,9.04,26.62,9.56,36.18,487.35,7.42,0.9867,59.753,3.53,0.957
2023-01-01 23:00:00,9.44,30.3,9.56,39.86,429.09,9.29,1.009,60.066,3.19,0.954
2023-01-02 00:00:00,10.59,42.7,9.56,52.26,517.48,10.1,0.9419,59.916,3.21,0.963
2023-01-02 01:00:00,7.77,16.9,9.56,26.46,513.07,5.16,0.9823,60.013,3.56,0.952
2023-01-02 02:00:00,11.41,53.41,9.56,62.97,449.39,14.01,0.9761,59.875,3.77,0.92
2023-01-02 03:00:00,8.73,23.96,9.56,33.52,469.37,7.14,0.9942,59.97,3.17,0.952
2023-01-02 04:00:00,6.11,8.19,9.56,17.75,416.01,4.27,0.9888,59.998,3.77,0.95
2023-01-02 05:00:00,9.87,34.63,9.56,44.19,404.62,10.92,1.0149,60.025,3.51,0.958
2023-01-02 06:00:00,10.55,42.31,9.56,51.87,379.46,13.67,0.9614,59.888,3.83,0.939
2023-01-02 07:00:00,7.22,13.53,36.84,50.37,443.11,11.37,0.9998,60.118,3.53,0.951
2023-01-02 08:00:00,11.0,47.92,47.91,95.83,383.74,24.97,1.0087,59.945,3.67,0.954
2023-01-02 09:00:00,11.34,52.54,64.63,117.17,355.81,32.93,1.0338,59.842,4.07,0.937
2023-01-02 10:00:00,6.94,12.02,67.44,79.46,422.19,18.82,0.9885,59.991,3.61,0.958
2023-01-02 11:00:00,11.88,60.43,88.99,149.42,376.74,39.66,1.0025,60.016,4.33,0.94
2023-01-02 12:00:00,5.98,7.72,84.1,91.82,440.3,20.85,0.9618,60.019,3.62,0.947
2023-01-02 13:00:00,6.41,9.5,84.93,94.43,399.31,23.65,0.9498,60.141,3.98,0.92
2023-01-02 14:00:00,6.29,8.96,95.14,104.09,444.08,23.44,1.0146,59.981,3.63,0.92
2023-01-02 15:00:00,11.26,51.37,82.45,133.82,515.65,25.95,0.9973,59.994,4.19,0.92
2023-01-02 16:00:00,9.58,31.65,45.24,76.89,555.97,13.83,1.0222,59.889,4.03,0.95
2023-01-02 17:00:00,6.06,8.03,30.07,38.1,559.62,6.81,0.9719,60.078,3.25,0.973
2023-01-02 18:00:00,8.08,19.01,9.56,28.57,566.86,5.04,1.0099,60.013,3.57,0.946
2023-01-02 19:00:00,9.31,29.02,9.56,38.58,571.27,6.75,1.0367,59.954,3.21,0.965
2023-01-02 20:00:00,5.58,6.27,9.56,15.83,539.34,2.93,1.0081,59.803,3.66,0.962
2023-01-02 21:00:00,11.18,50.27,9.56,59.83,558.7,10.71,1.0045,60.142,3.48,0.95
2023-01-02 22:00:00,10.63,43.18,9.56,52.74,556.51,9.48,0.9992,59.874,3.72,0.959
2023-01-02 23:00:00,8.54,22.39,9.56,31.95,586.19,5.45,0.968,59.936,3.63,0.953
2023-01-03 00:00:00,11.77,58.7,9.56,68.26,543.53,12.56,1.0259,60.035,4.18,0.943
2023-01-03 01:00:00,7.92,17.91,9.56,27.47,456.29,6.02,0.9872,59.876,3.67,0.956
2023-01-03 02:00:00,11.89,60.49,9.56,70.05,493.11,14.21,1.0087,59.85,3.87,0.975
2023-01-03 03:00:00,9.68,32.61,9.56,42.17,446.04,9.45,0.9678,59.785,3.59,0.957
2023-01-03 04:00:00,9.44,30.31,9.56,39.87,413.24,9.65,0.9754,60.069,4.14,0.951
2023-01-03 05:00:00,6.16,8.42,9.56,17.98,431.26,4.17,1.0283,59.94,3.86,0.931
2023-01-03 06:00:00,11.17,50.22,9.56,59.78,428.0,13.97,0.9917,60.292,3.56,0.974
2023-01-03 07:00:00,7.99,18.38,34.31,52.69,415.05,12.69,1.0278,59.899,4.1,0.92
2023-01-03 08:00:00,6.14,8.32,53.63,61.95,358.54,17.28,0.9967,59.909,3.78,0.92
2023-01-03 09:00:00,5.09,4.74,81.68,86.42,377.84,22.87,0.9609,59.947,4.29,0.951
2023-01-03 10:00:00,8.92,25.54,94.7,120.23,407.01,29.54,1.0149,60.032,4.41,0.924
2023-01-03 11:00:00,8.69,23.64,102.04,125.68,442.17,28.42,0.9854,59.96,3.76,0.963
2023-01-03 12:00:00,10.04,36.38,75.55,111.93,419.17,26.7,1.0113,60.067,4.24,0.92
2023-01-03 13:00:00,11.23,51.01,71.31,122.31,452.02,27.06,0.9978,59.908,3.83,0.961
2023-01-03 14:00:00,5.56,6.17,72.47,78.65,450.19,17.47,0.9674,59.863,3.65,0.961
2023-01-03 15:00:00,10.12,37.32,74.46,111.77,473.29,23.62,1.0009,59.824,3.77,0.945
2023-01-03 16:00:00,6.31,9.05,50.1,59.15,557.59,10.61,1.0429,59.775,3.94,0.92
2023-01-03 17:00:00,11.01,48.01,30.45,78.46,594.55,13.2,1.0085,59.947,3.49,0.92
2023-01-03 18:00:00,10.73,44.52,9.56,54.08,567.54,9.53,0.9979,59.967,3.19,0.952
2023-01-03 19:00:00,8.79,24.41,9.56,33.97,609.76,5.57,1.0209,59.932,3.83,0.944
2023-01-03 20:00:00,9.97,35.7,9.56,45.26,593.9,7.62,1.0035,60.121,3.32,0.962
2023-01-03 21:00:00,7.2,13.44,9.56,23.0,560.3,4.1,1.0038,60.117,3.19,0.947
2023-01-03 22:00:00,8.3,20.57,9.56,30.13,580.54,5.19,0.9776,59.962,3.34,0.945
2023-01-03 23:00:00,10.75,44.74,9.56,54.3,600.0,9.05,1.0038,59.818,3.56,0.92
2023-01-04 00:00:00,8.21,19.96,9.56,29.52,531.55,5.55,1.0202,59.939,3.59,0.965
2023-01-04 01:00:00,7.5,15.22,9.56,24.78,555.55,4.46,0.9828,59.935,3.13,0.936
2023-01-04 02:00:00,8.46,21.79,9.56,31.35,404.25,7.76,1.0277,59.931,4.13,0.94
2023-01-04 03:00:00,10.8,45.32,9.56,54.88,481.73,11.39,0.997,59.928,3.94,0.925
2023-01-04 04:00:00,7.35,14.27,9.56,23.83,435.68,5.47,0.9817,59.93,3.43,0.92
2023-01-04 05:00:00,6.22,8.65,9.56,18.21,403.48,4.51,1.0195,59.956,3.41,0.978
2023-01-04 06:00:00,9.98,35.83,9.56,45.39,399.38,11.36,0.9931,59.935,3.68,0.963
2023-01-04 07:00:00,10.78,45.12,31.91,77.03,327.05,23.55,1.0128,60.025,4.1,0.959
2023-01-04 08:00:00,5.7,6.68,47.57,54.25,376.7,14.4,0.9927,60.036,3.43,0.941
2023-01-04 09:00:00,6.68,10.73,69.47,80.2,397.39,20.18,0.9968,59.912,3.59,0.92
2023-01-04 10:00:00,5.99,7.75,75.83,83.58,440.96,18.95,1.008,60.129,4.24,0.986
2023-01-04 11:00:00,7.44,14.8,95.64,110.44,396.9,27.82,1.003,59.908,3.81,0.95
2023-01-04 12:00:00,8.15,19.51,91.78,111.28,408.81,27.22,0.9574,59.844,3.92,0.945
2023-01-04 13:00:00,10.24,38.67,77.91,116.59,442.02,26.38,0.9749,60.044,4.4,0.935
2023-01-04 14:00:00,9.56,31.43,69.08,100.52,510.31,19.7,1.0166,59.921,4.06,0.92
2023-01-04 15:00:00,9.35,29.39,71.09,100.48,518.47,19.38,0.9954,60.034,3.73,0.967
2023-01-04 16:00:00,7.47,14.99,60.63,75.61,516.73,14.63,0.9881,59.759,3.98,0.924
2023-01-04 17:00:00,10.89,46.49,29.85,76.34,568.64,13.43,0.9715,60.138,3.29,0.957
2023-01-04 18:00:00,8.3,20.58,9.56,30.14,571.97,5.27,0.9779,60.062,3.84,0.964
2023-01-04 19:00:00,11.85,59.96,9.56,69.52,608.07,11.43,0.9584,59.848,3.72,0.953
2023-01-04 20:00:00,9.44,30.27,9.56,39.83,561.34,7.1,0.9973,59.848,3.96,0.957
2023-01-04 21:00:00,5.88,7.33,9.56,16.89,569.18,2.97,0.9877,60.161,4.01,0.976
2023-01-04 22:00:00,9.73,33.2,9.56,42.76,557.3,7.67,0.9799,59.923,4.08,0.932
2023-01-04 23:00:00,7.28,13.87,9.56,23.43,509.34,4.6,0.9982,59.911,4.0,0.952
2023-01-05 00:00:00,9.8,33.93,9.56,43.49,540.91,8.04,1.0065,59.77,3.67,0.943
2023-01-05 01:00:00,5.49,5.95,9.56,15.51,515.88,3.01,1.0416,59.959,3.42,0.92
2023-01-05 02:00:00,6.22,8.68,9.56,18.24,482.46,3.78,0.9694,59.972,3.54,0.955
2023-01-05 03:00:00,10.99,47.79,9.56,57.35,449.53,12.76,1.0219,60.07,3.95,0.971
2023-01-05 04:00:00,6.59,10.3,9.56,19.86,390.12,5.09,1.019,59.855,3.99,0.976
2023-01-05 05:00:00,10.86,46.1,9.56,55.66,399.37,13.94,0.983,59.847,3.49,0.983
2023-01-05 06:00:00,6.95,12.11,9.56,21.67,385.9,5.62,1.0035,60.04,4.03,0.92
2023-01-05 07:00:00,9.5,30.87,32.46,63.33,362.18,17.49,0.9891,60.102,4.16,0.977
2023-01-05 08:00:00,9.86,34.5,51.4,85.9,378.02,22.72,1.0014,59.847,4.43,0.947
2023-01-05 09:00:00,8.59,22.81,58.33,81.14,398.37,20.37,1.0281,60.111,4.29,0.976
2023-01-05 10:00:00,7.14,13.09,101.09,114.18,452.77,25.22,1.0096,60.009,3.78,0.935
2023-01-05 11:00:00,6.49,9.83,80.13,89.96,417.23,21.56,1.008,60.112,3.54,0.933
2023-01-05 12:00:00,5.23,5.16,76.34,81.49,440.31,18.51,0.9895,59.995,3.48,0.92
2023-01-05 13:00:00,7.13,13.04,95.78,108.81,454.33,23.95,0.9679,59.752,3.77,0.958
2023-01-05 14:00:00,9.57,31.57,92.17,123.75,424.74,29.13,0.9929,59.992,4.2,0.952
2023-01-05 15:00:00,11.57,55.73,55.73,111.46,507.25,21.97,1.0219,60.11,4.24,0.921
2023-01-05 16:00:00,11.1,49.21,55.55,104.76,533.83,19.62,0.9675,59.913,4.29,0.92
2023-01-05 17:00:00,10.36,40.06,31.97,72.03,626.52,11.5,0.9777,59.959,3.85,0.955
2023-01-05 18:00:00,10.52,41.9,9.56,51.46,562.66,9.15,1.0016,59.979,3.19,0.958
2023-01-05 19:00:00,9.65,32.4,9.56,41.96,587.41,7.14,0.9796,59.706,3.33,0.928
2023-01-05 20:00:00,6.82,11.43,9.56,20.99,580.71,3.61,0.9838,60.161,3.17,0.925
2023-01-05 21:00:00,11.35,52.64,9.56,62.2,543.3,11.45,0.9904,59.908,3.59,0.96
2023-01-05 22:00:00,9.7,32.81,9.56,42.37,602.71,7.03,0.972,60.047,3.64,0.985
2023-01-05 23:00:00,8.92,25.58,9.56,35.14,575.18,6.11,0.9799,59.987,3.17,0.938
2023-01-06 00:00:00,5.78,6.94,9.56,16.5,555.16,2.97,1.0138,60.12,3.41,0.932
2023-01-06 01:00:00,8.13,19.34,9.56,28.9,480.19,6.02,0.9733,60.036,3.3,0.954
2023-01-06 02:00:00,8.22,20.01,9.56,29.57,523.85,5.65,0.9675,59.972,3.76,0.961
2023-01-06 03:00:00,11.05,48.6,9.56,58.16,414.0,14.05,0.986,59.91,3.75,0.938
2023-01-06 04:00:00,8.83,24.76,9.56,34.32,449.71,7.63,1.0139,60.076,3.65,0.988
2023-01-06 05:00:00,7.66,16.2,9.56,25.76,477.24,5.4,0.9955,59.808,3.54,0.966
2023-01-06 06:00:00,11.84,59.72,9.56,69.28,366.03,18.93,0.9888,60.067,4.33,0.937
2023-01-06 07:00:00,5.78,6.93,33.79,40.72,368.83,11.04,0.9998,59.888,3.44,0.92
2023-01-06 08:00:00,7.96,18.14,51.36,69.51,385.42,18.03,0.9633,60.127,3.88,0.971
