Date,Hour_Ending,Load_MW
2023-01-01 00:00:00,1,10114
2023-01-01 01:00:00,2,9337
2023-01-01 02:00:00,3,9951
2023-01-01 03:00:00,4,8497
2023-01-01 04:00:00,5,9003
2023-01-01 05:00:00,6,8271
2023-01-01 06:00:00,7,8044
2023-01-01 07:00:00,8,7685
2023-01-01 08:00:00,9,7977
2023-01-01 09:00:00,10,7698
2023-01-01 10:00:00,11,8169
2023-01-01 11:00:00,12,9037
2023-01-01 12:00:00,13,8374
2023-01-01 13:00:00,14,9107
2023-01-01 14:00:00,15,8725
2023-01-01 15:00:00,16,10193
2023-01-01 16:00:00,17,9778
2023-01-01 17:00:00,18,11215
2023-01-01 18:00:00,19,11115
2023-01-01 19:00:00,20,10886
2023-01-01 20:00:00,21,11320
2023-01-01 21:00:00,22,10692
2023-01-01 22:00:00,23,10968
2023-01-01 23:00:00,24,11209
2023-01-02 00:00:00,1,11826
2023-01-02 01:00:00,2,11987
2023-01-02 02:00:00,3,11183
2023-01-02 03:00:00,4,10428
2023-01-02 04:00:00,5,10541
2023-01-02 05:00:00,6,9062
2023-01-02 06:00:00,7,10000
2023-01-02 07:00:00,8,9453
2023-01-02 08:00:00,9,8918
2023-01-02 09:00:00,10,9724
2023-01-02 10:00:00,11,9259
2023-01-02 11:00:00,12,10084
2023-01-02 12:00:00,13,9369
2023-01-02 13:00:00,14,11357
2023-01-02 14:00:00,15,11020
2023-01-02 15:00:00,16,11625
2023-01-02 16:00:00,17,12414
2023-01-02 17:00:00,18,13084
2023-01-02 18:00:00,19,11637
2023-01-02 19:00:00,20,12178
2023-01-02 20:00:00,21,12430
2023-01-02 21:00:00,22,12190
2023-01-02 22:00:00,23,13015
2023-01-02 23:00:00,24,11845
2023-01-03 00:00:00,1,10796
2023-01-03 01:00:00,2,11222
2023-01-03 02:00:00,3,11061
2023-01-03 03:00:00,4,10091
2023-01-03 04:00:00,5,9501
2023-01-03 05:00:00,6,9854
2023-01-03 06:00:00,7,10203
2023-01-03 07:00:00,8,9532
2023-01-03 08:00:00,9,8999
2023-01-03 09:00:00,10,8934
2023-01-03 10:00:00,11,10091
2023-01-03 11:00:00,12,9668
2023-01-03 12:00:00,13,9520
2023-01-03 13:00:00,14,11319
2023-01-03 14:00:00,15,10148
2023-01-03 15:00:00,16,11821
2023-01-03 16:00:00,17,12083
2023-01-03 17:00:00,18,11817
2023-01-03 18:00:00,19,12462
2023-01-03 19:00:00,20,11811
2023-01-03 20:00:00,21,11535
2023-01-03 21:00:00,22,12444
2023-01-03 22:00:00,23,11166
2023-01-03 23:00:00,24,12098
2023-01-04 00:00:00,1,12365
2023-01-04 01:00:00,2,11446
2023-01-04 02:00:00,3,11658
2023-01-04 03:00:00,4,10835
2023-01-04 04:00:00,5,11285
2023-01-04 05:00:00,6,9104
2023-01-04 06:00:00,7,9592
2023-01-04 07:00:00,8,8936
2023-01-04 08:00:00,9,9213
2023-01-04 09:00:00,10,9281
2023-01-04 10:00:00,11,9742
2023-01-04 11:00:00,12,10543
2023-01-04 12:00:00,13,10255
2023-01-04 13:00:00,14,10255
2023-01-04 14:00:00,15,10720
2023-01-04 15:00:00,16,11580
2023-01-04 16:00:00,17,12845
2023-01-04 17:00:00,18,11848
2023-01-04 18:00:00,19,12488
2023-01-04 19:00:00,20,12026
2023-01-04 20:00:00,21,12635
2023-01-04 21:00:00,22,12368
2023-01-04 22:00:00,23,11644
2023-01-04 23:00:00,24,11951
2023-01-05 00:00:00,1,12172
2023-01-05 01:00:00,2,11818
2023-01-05 02:00:00,3,10925
2023-01-05 03:00:00,4,10091
2023-01-05 04:00:00,5,10275
2023-01-05 05:00:00,6,10811
2023-01-05 06:00:00,7,9509
2023-01-05 07:00:00,8,9186
2023-01-05 08:00:00,9,8959
2023-01-05 09:00:00,10,10057
2023-01-05 10:00:00,11,9333
2023-01-05 11:00:00,12,11009
2023-01-05 12:00:00,13,10057
2023-01-05 13:00:00,14,9757
2023-01-05 14:00:00,15,11013
2023-01-05 15:00:00,16,11661
2023-01-05 16:00:00,17,12752
2023-01-05 17:00:00,18,12184
2023-01-05 18:00:00,19,13235
2023-01-05 19:00:00,20,12344
2023-01-05 20:00:00,21,11182
2023-01-05 21:00:00,22,12990
2023-01-05 22:00:00,23,13333
2023-01-05 23:00:00,24,12214
2023-01-06 00:00:00,1,11243
2023-01-06 01:00:00,2,11942
2023-01-06 02:00:00,3,10803
2023-01-06 03:00:00,4,10752
2023-01-06 04:00:00,5,9506
2023-01-06 05:00:00,6,9912
2023-01-06 06:00:00,7,9312
2023-01-06 07:00:00,8,8954
2023-01-06 08:00:00,9,9476
2023-01-06 09:00:00,10,9306
2023-01-06 10:00:00,11,10482
2023-01-06 11:00:00,12,10555
2023-01-06 12:00:00,13,10649
2023-01-06 13:00:00,14,10796
2023-01-06 14:00:00,15,10672
2023-01-06 15:00:00,16,11913
