ALLSKY_SFC_SW_DWN,WS10M,WS50M,T2M,RH2M,PRECTOTCORR,CLOUD_AMT,datetime
0.0,4.13,8.87,11.65,83.31,0.01,9.95,2023-01-01 00:00:00
0.0,4.36,8.8,11.22,87.83,0.01,1.03,2023-01-01 01:00:00
0.0,4.31,8.55,10.68,93.61,0.0,8.7,2023-01-01 02:00:00
0.0,4.0,8.12,10.04,100.0,0.01,16.36,2023-01-01 03:00:00
0.0,3.62,7.69,9.45,100.0,0.05,9.74,2023-01-01 04:00:00
0.0,3.31,7.26,8.98,100.0,0.13,24.61,2023-01-01 05:00:00
0.0,3.12,6.88,8.58,100.0,0.0,52.42,2023-01-01 06:00:00
8.18,3.07,6.66,8.62,100.0,0.0,59.98,2023-01-01 07:00:00
113.53,4.22,5.47,11.62,92.27,0.0,65.4,2023-01-01 08:00:00
266.67,3.53,4.05,14.22,82.13,0.0,72.25,2023-01-01 09:00:00
399.85,4.53,5.28,17.72,71.81,0.0,80.44,2023-01-01 10:00:00
489.1,4.98,5.77,20.43,64.21,0.0,88.74,2023-01-01 11:00:00
544.25,5.46,6.41,22.4,58.7,0.0,73.82,2023-01-01 12:00:00
555.45,5.77,6.85,23.59,55.81,0.0,24.39,2023-01-01 13:00:00
448.55,5.84,7.11,24.0,55.42,0.0,88.12,2023-01-01 14:00:00
308.65,5.44,7.05,23.77,57.72,0.0,88.43,2023-01-01 15:00:00
142.12,3.74,6.96,21.99,69.03,0.0,88.09,2023-01-01 16:00:00
13.8,3.47,7.68,18.29,84.62,0.0,89.72,2023-01-01 17:00:00
0.0,3.77,8.46,17.24,88.85,0.0,89.28,2023-01-01 18:00:00
0.0,4.01,8.89,16.95,90.78,0.0,57.59,2023-01-01 19:00:00
0.0,4.23,8.97,16.45,93.9,0.0,11.82,2023-01-01 20:00:00
0.0,4.43,8.88,15.71,99.25,0.0,37.95,2023-01-01 21:00:00
0.0,4.36,8.65,15.0,100.0,0.0,87.69,2023-01-01 22:00:00
0.0,4.11,8.64,14.66,100.0,0.0,94.36,2023-01-01 23:00:00
0.0,4.49,8.89,15.49,100.0,0.0,100.0,2023-01-02 00:00:00
0.0,5.21,9.41,16.5,100.0,0.0,99.98,2023-01-02 01:00:00
0.0,5.73,9.75,17.19,100.0,0.0,97.54,2023-01-02 02:00:00
0.0,6.0,9.95,17.61,100.0,0.0,95.33,2023-01-02 03:00:00
0.0,6.01,9.96,17.72,100.0,0.0,83.47,2023-01-02 04:00:00
0.0,5.98,9.89,17.81,100.0,0.0,79.48,2023-01-02 05:00:00
0.0,5.74,9.62,17.95,100.0,1.28,85.1,2023-01-02 06:00:00
5.03,5.91,9.86,18.37,98.47,2.42,87.1,2023-01-02 07:00:00
65.82,6.21,8.71,19.78,94.05,3.26,87.62,2023-01-02 08:00:00
163.3,5.81,7.5,21.04,91.26,3.29,87.96,2023-01-02 09:00:00
252.75,7.52,9.78,22.56,86.09,2.96,91.03,2023-01-02 10:00:00
319.7,9.06,11.6,24.35,76.03,2.71,92.8,2023-01-02 11:00:00
333.75,9.17,11.56,25.5,68.6,1.45,95.43,2023-01-02 12:00:00
266.45,8.84,11.07,26.19,63.63,0.83,95.73,2023-01-02 13:00:00
230.35,8.38,10.56,26.58,59.63,0.35,82.07,2023-01-02 14:00:00
171.07,7.5,9.72,26.32,58.85,0.14,85.72,2023-01-02 15:00:00
86.2,5.41,8.44,24.97,64.63,0.22,90.39,2023-01-02 16:00:00
11.62,3.58,7.88,21.32,80.42,0.16,92.24,2023-01-02 17:00:00
0.0,3.59,7.95,19.79,85.33,0.24,94.85,2023-01-02 18:00:00
0.0,3.42,7.48,18.94,88.41,0.26,54.38,2023-01-02 19:00:00
0.0,3.23,6.8,18.08,92.02,0.29,8.37,2023-01-02 20:00:00
0.0,3.15,6.77,17.34,96.31,0.35,27.59,2023-01-02 21:00:00
0.0,2.85,5.87,16.47,100.0,0.42,79.95,2023-01-02 22:00:00
0.0,2.89,5.81,15.78,100.0,0.52,75.96,2023-01-02 23:00:00
0.0,3.29,7.26,15.1,89.8,0.2,57.32,2023-01-03 00:00:00
0.0,3.26,7.3,13.5,78.71,0.22,40.3,2023-01-03 01:00:00
