project_id,capacity_mwh,power_rating_mw,installed_cost_usd_kwh,operation_year,state
PRJ_00000,163.38,61.19,321.7,2015,NY
PRJ_00001,76.25,31.53,365.9,2017,FL
PRJ_00002,195.83,43.08,217.1,2022,NY
PRJ_00003,500.0,103.61,305.3,2017,NY
PRJ_00004,67.97,31.96,250.7,2022,MA
PRJ_00005,67.97,11.83,258.1,2015,CA
PRJ_00006,500.0,226.46,253.3,2019,TX
PRJ_00007,226.09,54.28,241.1,2018,PA
PRJ_00008,51.25,10.6,282.2,2019,OH
PRJ_00009,172.62,31.48,242.6,2022,OH
PRJ_00010,51.62,10.63,292.2,2018,TX
PRJ_00011,51.48,9.89,277.7,2018,MA
PRJ_00012,120.34,35.84,269.2,2017,IL
PRJ_00013,9.06,1.72,239.2,2021,IL
PRJ_00014,11.36,4.9,254.0,2017,IL
PRJ_00015,45.84,8.22,314.0,2017,MA
PRJ_00016,26.7,6.37,302.5,2019,PA
PRJ_00017,131.25,24.91,236.0,2019,OH
PRJ_00018,30.28,7.95,284.5,2020,TX
PRJ_00019,16.53,3.61,313.8,2022,MA
PRJ_00020,500.0,121.78,204.9,2020,OH
PRJ_00021,68.65,13.94,304.5,2015,NY
PRJ_00022,97.62,41.96,250.2,2022,FL
PRJ_00023,16.29,7.27,305.7,2022,FL
PRJ_00024,46.84,15.67,245.7,2023,MA
PRJ_00025,102.83,38.98,198.8,2023,OH
PRJ_00026,22.62,4.12,206.8,2016,CA
PRJ_00027,141.29,49.11,282.2,2016,PA
PRJ_00028,43.78,7.42,291.7,2017,IL
PRJ_00029,63.43,18.95,239.3,2015,PA
PRJ_00030,43.73,16.03,308.7,2018,PA
PRJ_00031,500.0,96.92,205.2,2018,MA
PRJ_00032,88.57,19.11,277.0,2023,NY
PRJ_00033,25.3,6.34,225.5,2023,PA
PRJ_00034,241.54,57.22,250.7,2023,FL
PRJ_00035,20.8,4.27,282.1,2021,NY
PRJ_00036,115.66,39.69,241.3,2016,TX
PRJ_00037,8.57,1.43,262.7,2019,PA
PRJ_00038,18.29,3.1,325.3,2018,PA
PRJ_00039,114.0,24.78,254.0,2022,TX
PRJ_00040,218.36,78.04,317.6,2016,PA
PRJ_00041,110.57,23.42,229.2,2020,TX
PRJ_00042,78.35,34.23,303.8,2019,NY
PRJ_00043,62.72,29.55,344.9,2016,FL
PRJ_00044,15.27,5.04,168.8,2015,TX
PRJ_00045,37.95,9.86,244.1,2022,CA
PRJ_00046,51.79,9.46,306.0,2016,MA
PRJ_00047,320.07,65.21,270.9,2021,MA
PRJ_00048,135.96,27.35,296.7,2023,TX
PRJ_00049,10.85,2.93,252.8,2023,MA
PRJ_00050,132.81,39.25,283.9,2022,PA
PRJ_00051,56.71,16.28,273.0,2023,IL
PRJ_00052,39.95,6.71,332.6,2016,IL
